,id,name,budget,original_title,vote_average,vote_count
1,6435,Fantasy,75000000,Practical Magic,6.3,338
2,6435,Comedy,75000000,Practical Magic,6.3,338
0,137106,Adventure,60000000,The Lego Movie,7.5,3070
1,137106,Animation,60000000,The Lego Movie,7.5,3070
2,137106,Comedy,60000000,The Lego Movie,7.5,3070
3,137106,Family,60000000,The Lego Movie,7.5,3070
4,137106,Fantasy,60000000,The Lego Movie,7.5,3070
0,10040,Action,0,Miss Congeniality 2: Armed and Fabulous,5.3,425
1,10040,Comedy,0,Miss Congeniality 2: Armed and Fabulous,5.3,425
0,6278,Adventure,60000000,Reign of Fire,6.0,669
1,6278,Action,60000000,Reign of Fire,6.0,669
2,6278,Fantasy,60000000,Reign of Fire,6.0,669
0,82682,Crime,60000000,Gangster Squad,6.2,1778
1,82682,Drama,60000000,Gangster Squad,6.2,1778
2,82682,Action,60000000,Gangster Squad,6.2,1778
3,82682,Thriller,60000000,Gangster Squad,6.2,1778
0,17610,Comedy,60000000,Year One,4.6,524
1,17610,Adventure,60000000,Year One,4.6,524
0,22954,Drama,60000000,Invictus,7.0,1125
1,22954,History,60000000,Invictus,7.0,1125
0,16995,Action,60000000,State of Play,6.7,484
0,16558,Romance,78146652,Duplicity,5.7,201
1,16558,Comedy,78146652,Duplicity,5.7,201
2,16558,Crime,78146652,Duplicity,5.7,201
0,9849,Comedy,65000000,My Favorite Martian,5.1,80
1,9849,Drama,65000000,My Favorite Martian,5.1,80
2,9849,Family,65000000,My Favorite Martian,5.1,80
3,9849,Science Fiction,65000000,My Favorite Martian,5.1,80
0,5820,Action,60000000,The Sentinel,5.8,225
1,5820,Thriller,60000000,The Sentinel,5.8,225
2,5820,Crime,60000000,The Sentinel,5.8,225
0,16866,Science Fiction,70000000,Planet 51,5.6,556
1,16866,Animation,70000000,Planet 51,5.6,556
2,16866,Family,70000000,Planet 51,5.6,556
3,16866,Comedy,70000000,Planet 51,5.6,556
4,16866,Adventure,70000000,Planet 51,5.6,556
0,201,Science Fiction,60000000,Star Trek: Nemesis,6.1,479
1,201,Action,60000000,Star Trek: Nemesis,6.1,479
2,201,Adventure,60000000,Star Trek: Nemesis,6.1,479
3,201,Thriller,60000000,Star Trek: Nemesis,6.1,479
0,11775,Crime,60000000,Intolerable Cruelty,5.8,391
1,11775,Comedy,60000000,Intolerable Cruelty,5.8,391
2,11775,Romance,60000000,Intolerable Cruelty,5.8,391
0,87825,Drama,0,Trouble with the Curve,6.6,366
1,87825,Romance,0,Trouble with the Curve,6.6,366
0,12201,Crime,80000000,Edge of Darkness,6.2,487
1,12201,Drama,80000000,Edge of Darkness,6.2,487
2,12201,Mystery,80000000,Edge of Darkness,6.2,487
3,12201,Thriller,80000000,Edge of Darkness,6.2,487
0,11015,Horror,60000000,The Relic,5.8,130
1,11015,Mystery,60000000,The Relic,5.8,130
2,11015,Thriller,60000000,The Relic,5.8,130
0,9932,Comedy,60000000,Analyze That,5.7,380
1,9932,Crime,60000000,Analyze That,5.7,380
0,13389,Action,60000000,Righteous Kill,5.9,375
1,13389,Crime,60000000,Righteous Kill,5.9,375
2,13389,Drama,60000000,Righteous Kill,5.9,375
3,13389,Thriller,60000000,Righteous Kill,5.9,375
0,8838,Action,60000000,Mercury Rising,6.0,368
1,8838,Crime,60000000,Mercury Rising,6.0,368
2,8838,Drama,60000000,Mercury Rising,6.0,368
3,8838,Thriller,60000000,Mercury Rising,6.0,368
0,17332,Drama,60000000,The Soloist,6.6,234
0,4958,Fantasy,80000000,The Legend of Bagger Vance,6.3,251
1,4958,Drama,80000000,The Legend of Bagger Vance,6.3,251
0,786,Drama,60000000,Almost Famous,7.4,797
1,786,Music,60000000,Almost Famous,7.4,797
0,9513,Animation,0,Garfield: A Tail of Two Kitties,5.1,464
1,9513,Comedy,0,Garfield: A Tail of Two Kitties,5.1,464
2,9513,Family,0,Garfield: A Tail of Two Kitties,5.1,464
0,11679,Action,60000000,xXx: State of the Union,4.7,549
1,11679,Adventure,60000000,xXx: State of the Union,4.7,549
2,11679,Crime,60000000,xXx: State of the Union,4.7,549
3,11679,Drama,60000000,xXx: State of the Union,4.7,549
4,11679,Mystery,60000000,xXx: State of the Union,4.7,549
5,11679,Thriller,60000000,xXx: State of the Union,4.7,549
0,38321,Action,60000000,Priest,5.4,692
1,38321,Science Fiction,60000000,Priest,5.4,692
2,38321,Fantasy,60000000,Priest,5.4,692
3,38321,Thriller,60000000,Priest,5.4,692
4,38321,Horror,60000000,Priest,5.4,692
0,14411,Family,60000000,Sinbad: Legend of the Seven Seas,6.6,372
1,14411,Animation,60000000,Sinbad: Legend of the Seven Seas,6.6,372
2,14411,Adventure,60000000,Sinbad: Legend of the Seven Seas,6.6,372
0,8413,Horror,60000000,Event Horizon,6.5,742
1,8413,Science Fiction,60000000,Event Horizon,6.5,742
2,8413,Mystery,60000000,Event Horizon,6.5,742
0,10052,Drama,60000000,Dragonfly,6.1,204
0,9676,Drama,50000000,The Black Dahlia,5.7,287
0,9664,Action,60000000,Flyboys,6.3,271
1,9664,Adventure,60000000,Flyboys,6.3,271
2,9664,Drama,60000000,Flyboys,6.3,271
3,9664,History,60000000,Flyboys,6.3,271
4,9664,Romance,60000000,Flyboys,6.3,271
5,9664,War,60000000,Flyboys,6.3,271
0,2100,Action,72000000,The Last Castle,7.0,285
1,2100,Drama,72000000,The Last Castle,7.0,285
2,2100,Thriller,72000000,The Last Castle,7.0,285
0,10384,Horror,90000000,Supernova,4.9,109
1,10384,Science Fiction,90000000,Supernova,4.9,109
2,10384,Thriller,90000000,Supernova,4.9,109
0,137321,Drama,60000000,Winter's Tale,6.0,487
1,137321,Fantasy,60000000,Winter's Tale,6.0,487
2,137321,Mystery,60000000,Winter's Tale,6.0,487
3,137321,Romance,60000000,Winter's Tale,6.0,487
0,123553,Action,60000000,The Mortal Instruments: City of Bones,6.2,1602
1,123553,Adventure,60000000,The Mortal Instruments: City of Bones,6.2,1602
2,123553,Drama,60000000,The Mortal Instruments: City of Bones,6.2,1602
3,123553,Mystery,60000000,The Mortal Instruments: City of Bones,6.2,1602
4,123553,Romance,60000000,The Mortal Instruments: City of Bones,6.2,1602
5,123553,Fantasy,60000000,The Mortal Instruments: City of Bones,6.2,1602
0,11260,Comedy,60000000,Meet Dave,5.0,371
1,11260,Science Fiction,60000000,Meet Dave,5.0,371
2,11260,Adventure,60000000,Meet Dave,5.0,371
3,11260,Family,60000000,Meet Dave,5.0,371
0,9009,Drama,30000000,Dark Water,5.3,274
1,9009,Horror,30000000,Dark Water,5.3,274
2,9009,Thriller,30000000,Dark Water,5.3,274
0,11374,Comedy,80000000,Edtv,5.7,166
0,2309,Adventure,60000000,Inkheart,6.0,592
1,2309,Family,60000000,Inkheart,6.0,592
2,2309,Fantasy,60000000,Inkheart,6.0,592
0,8285,Action,60000000,The Spirit,4.7,320
1,8285,Comedy,60000000,The Spirit,4.7,320
2,8285,Thriller,60000000,The Spirit,4.7,320
3,8285,Crime,60000000,The Spirit,4.7,320
4,8285,Science Fiction,60000000,The Spirit,4.7,320
0,210860,Comedy,60000000,Mortdecai,5.4,1055
1,210860,Adventure,60000000,Mortdecai,5.4,1055
0,2312,Adventure,60000000,In the Name of the King: A Dungeon Siege Tale,4.1,224
1,2312,Fantasy,60000000,In the Name of the King: A Dungeon Siege Tale,4.1,224
2,2312,Action,60000000,In the Name of the King: A Dungeon Siege Tale,4.1,224
3,2312,Drama,60000000,In the Name of the King: A Dungeon Siege Tale,4.1,224
0,9839,Drama,35000000,Beyond Borders,6.7,110
1,9839,Romance,35000000,Beyond Borders,6.7,110
2,9839,Adventure,35000000,Beyond Borders,6.7,110
3,9839,War,35000000,Beyond Borders,6.7,110
0,381902,Action,68490000,西游记之孙悟空三打白骨精,6.0,24
1,381902,Adventure,68490000,西游记之孙悟空三打白骨精,6.0,24
2,381902,Fantasy,68490000,西游记之孙悟空三打白骨精,6.0,24
0,13922,Action,80000000,The Great Raid,6.8,91
1,13922,History,80000000,The Great Raid,6.8,91
2,13922,War,80000000,The Great Raid,6.8,91
0,293660,Action,58000000,Deadpool,7.4,10995
1,293660,Adventure,58000000,Deadpool,7.4,10995
2,293660,Comedy,58000000,Deadpool,7.4,10995
0,9713,Drama,60000000,Holy Man,4.9,111
1,9713,Comedy,60000000,Holy Man,4.9,111
0,190859,War,58800000,American Sniper,7.4,4469
1,190859,Action,58800000,American Sniper,7.4,4469
0,257445,Adventure,58000000,Goosebumps,6.2,995
1,257445,Horror,58000000,Goosebumps,6.2,995
2,257445,Comedy,58000000,Goosebumps,6.2,995
0,9007,Comedy,58000000,Just Like Heaven,6.5,579
1,9007,Fantasy,58000000,Just Like Heaven,6.5,579
2,9007,Romance,58000000,Just Like Heaven,6.5,579
0,889,Science Fiction,83000000,The Flintstones in Viva Rock Vegas,4.4,134
1,889,Comedy,83000000,The Flintstones in Viva Rock Vegas,4.4,134
2,889,Family,83000000,The Flintstones in Viva Rock Vegas,4.4,134
3,889,Romance,83000000,The Flintstones in Viva Rock Vegas,4.4,134
0,1370,Action,63000000,Rambo III,5.7,690
1,1370,Adventure,63000000,Rambo III,5.7,690
2,1370,Thriller,63000000,Rambo III,5.7,690
3,1370,War,63000000,Rambo III,5.7,690
0,4942,Comedy,58000000,Leatherheads,5.7,130
1,4942,Romance,58000000,Leatherheads,5.7,130
2,4942,Drama,58000000,Leatherheads,5.7,130
0,347969,Comedy,60000000,The Ridiculous 6,4.9,388
1,347969,Western,60000000,The Ridiculous 6,4.9,388
0,24438,Comedy,58000000,Did You Hear About the Morgans?,5.1,276
0,116741,Comedy,58000000,The Internship,6.1,1658
0,35791,Action,60000000,Resident Evil: Afterlife,5.8,1363
1,35791,Adventure,60000000,Resident Evil: Afterlife,5.8,1363
2,35791,Horror,60000000,Resident Evil: Afterlife,5.8,1363
3,35791,Science Fiction,60000000,Resident Evil: Afterlife,5.8,1363
0,72431,Drama,58000000,Red Tails,5.9,178
1,72431,Action,58000000,Red Tails,5.9,178
2,72431,Adventure,58000000,Red Tails,5.9,178
3,72431,History,58000000,Red Tails,5.9,178
4,72431,War,58000000,Red Tails,5.9,178
0,1813,Drama,57000000,The Devil's Advocate,7.2,1374
1,1813,Horror,57000000,The Devil's Advocate,7.2,1374
2,1813,Mystery,57000000,The Devil's Advocate,7.2,1374
3,1813,Thriller,57000000,The Devil's Advocate,7.2,1374
0,87428,Comedy,70000000,That's My Boy,5.5,453
0,8840,Fantasy,57000000,DragonHeart,6.4,535
0,10589,Action,60000000,After the Sunset,6.0,226
1,10589,Comedy,60000000,After the Sunset,6.0,226
2,10589,Crime,60000000,After the Sunset,6.0,226
3,10589,Drama,60000000,After the Sunset,6.0,226
0,71676,Action,57000000,Ghost Rider: Spirit of Vengeance,4.7,1135
1,71676,Fantasy,57000000,Ghost Rider: Spirit of Vengeance,4.7,1135
2,71676,Thriller,57000000,Ghost Rider: Spirit of Vengeance,4.7,1135
0,1722,Drama,57000000,Captain Corelli's Mandolin,5.5,145
1,1722,History,57000000,Captain Corelli's Mandolin,5.5,145
2,1722,Romance,57000000,Captain Corelli's Mandolin,5.5,145
0,10022,Action,56000000,The Pacifier,5.8,842
1,10022,Comedy,56000000,The Pacifier,5.8,842
2,10022,Drama,56000000,The Pacifier,5.8,842
3,10022,Family,56000000,The Pacifier,5.8,842
4,10022,Thriller,56000000,The Pacifier,5.8,842
0,11358,Adventure,56000000,Walking Tall,6.0,381
1,11358,Drama,56000000,Walking Tall,6.0,381
2,11358,Action,56000000,Walking Tall,6.0,381
3,11358,Thriller,56000000,Walking Tall,6.0,381
0,13,Comedy,55000000,Forrest Gump,8.2,7927
1,13,Drama,55000000,Forrest Gump,8.2,7927
2,13,Romance,55000000,Forrest Gump,8.2,7927
0,6477,Comedy,60000000,Alvin and the Chipmunks,5.5,1177
1,6477,Music,60000000,Alvin and the Chipmunks,5.5,1177
2,6477,Family,60000000,Alvin and the Chipmunks,5.5,1177
3,6477,Fantasy,60000000,Alvin and the Chipmunks,5.5,1177
4,6477,Animation,60000000,Alvin and the Chipmunks,5.5,1177
0,1597,Comedy,55000000,Meet the Parents,6.6,1698
1,1597,Romance,55000000,Meet the Parents,6.6,1698
0,10530,Adventure,55000000,Pocahontas,6.7,1457
1,10530,Animation,55000000,Pocahontas,6.7,1457
2,10530,Drama,55000000,Pocahontas,6.7,1457
3,10530,Family,55000000,Pocahontas,6.7,1457
0,1924,Action,55000000,Superman,6.9,1022
1,1924,Adventure,55000000,Superman,6.9,1022
2,1924,Fantasy,55000000,Superman,6.9,1022
3,1924,Science Fiction,55000000,Superman,6.9,1022
0,9327,Fantasy,54000000,The Nutty Professor,5.4,702
1,9327,Comedy,54000000,The Nutty Professor,5.4,702
2,9327,Romance,54000000,The Nutty Professor,5.4,702
3,9327,Science Fiction,54000000,The Nutty Professor,5.4,702
0,8488,Comedy,70000000,Hitch,6.4,1665
1,8488,Drama,70000000,Hitch,6.4,1665
2,8488,Romance,70000000,Hitch,6.4,1665
0,10603,Adventure,55000000,George of the Jungle,5.4,496
1,10603,Comedy,55000000,George of the Jungle,5.4,496
2,10603,Family,55000000,George of the Jungle,5.4,496
3,10603,Romance,55000000,George of the Jungle,5.4,496
0,8273,Comedy,55000000,American Wedding,6.0,1129
1,8273,Romance,55000000,American Wedding,6.0,1129
0,109424,Action,55000000,Captain Phillips,7.6,2454
1,109424,Drama,55000000,Captain Phillips,7.6,2454
2,109424,Thriller,55000000,Captain Phillips,7.6,2454
0,35056,Comedy,55000000,Date Night,5.9,1122
0,8839,Fantasy,50000000,Casper,6.0,1019
1,8839,Comedy,50000000,Casper,6.0,1019
2,8839,Family,50000000,Casper,6.0,1019
0,156022,Thriller,55000000,The Equalizer,7.1,2954
1,156022,Action,55000000,The Equalizer,7.1,2954
2,156022,Crime,55000000,The Equalizer,7.1,2954
0,7303,Comedy,55000000,Maid in Manhattan,5.6,485
1,7303,Drama,55000000,Maid in Manhattan,5.6,485
2,7303,Romance,55000000,Maid in Manhattan,5.6,485
0,8963,Action,53000000,Crimson Tide,7.0,498
1,8963,Thriller,53000000,Crimson Tide,7.0,498
2,8963,Drama,53000000,Crimson Tide,7.0,498
0,1402,Drama,55000000,The Pursuit of Happyness,7.7,2525
0,9315,Thriller,55000000,Flightplan,6.1,772
1,9315,Drama,55000000,Flightplan,6.1,772
2,9315,Mystery,55000000,Flightplan,6.1,772
0,8984,Drama,55000000,Disclosure,5.9,210
1,8984,Thriller,55000000,Disclosure,5.9,210
2,8984,Crime,55000000,Disclosure,5.9,210
3,8984,Mystery,55000000,Disclosure,5.9,210
4,8984,Romance,55000000,Disclosure,5.9,210
0,795,Drama,55000000,City of Angels,6.4,529
1,795,Fantasy,55000000,City of Angels,6.4,529
2,795,Romance,55000000,City of Angels,6.4,529
0,24,Action,30000000,Kill Bill: Vol. 1,7.7,4949
1,24,Crime,30000000,Kill Bill: Vol. 1,7.7,4949
0,11353,Comedy,55000000,Bowfinger,6.0,254
0,393,Action,30000000,Kill Bill: Vol. 2,7.6,3948
1,393,Crime,30000000,Kill Bill: Vol. 2,7.6,3948
2,393,Thriller,30000000,Kill Bill: Vol. 2,7.6,3948
0,9618,Action,55000000,Tango & Cash,6.1,458
1,9618,Adventure,55000000,Tango & Cash,6.1,458
2,9618,Comedy,55000000,Tango & Cash,6.1,458
0,9374,Fantasy,55000000,Death Becomes Her,6.3,636
1,9374,Comedy,55000000,Death Becomes Her,6.3,636
0,8584,Adventure,55000000,Shanghai Noon,6.2,735
1,8584,Action,55000000,Shanghai Noon,6.2,735
2,8584,Comedy,55000000,Shanghai Noon,6.2,735
3,8584,Western,55000000,Shanghai Noon,6.2,735
0,2320,Action,55000000,Executive Decision,5.8,256
1,2320,Adventure,55000000,Executive Decision,5.8,256
2,2320,Drama,55000000,Executive Decision,5.8,256
3,2320,Thriller,55000000,Executive Decision,5.8,256
0,58224,Comedy,55000000,Mr. Popper's Penguins,5.7,751
1,58224,Family,55000000,Mr. Popper's Penguins,5.7,751
0,1729,Action,55000000,The Forbidden Kingdom,6.3,461
1,1729,Adventure,55000000,The Forbidden Kingdom,6.3,461
2,1729,Fantasy,55000000,The Forbidden Kingdom,6.3,461
0,175574,Animation,55000000,Free Birds,5.7,254
1,175574,Comedy,55000000,Free Birds,5.7,254
2,175574,Family,55000000,Free Birds,5.7,254
0,8077,Science Fiction,50000000,Alien³,6.2,1633
1,8077,Action,50000000,Alien³,6.2,1633
2,8077,Horror,50000000,Alien³,6.2,1633
0,8818,History,55000000,Evita,5.9,120
1,8818,Drama,55000000,Evita,5.9,120
2,8818,Music,55000000,Evita,5.9,120
0,8195,Action,55000000,Ronin,6.7,658
1,8195,Thriller,55000000,Ronin,6.7,658
2,8195,Crime,55000000,Ronin,6.7,658
3,8195,Adventure,55000000,Ronin,6.7,658
0,10586,Adventure,50000000,The Ghost and the Darkness,6.4,236
0,116149,Family,55000000,Paddington,7.0,883
1,116149,Comedy,55000000,Paddington,7.0,883
0,80035,Comedy,68000000,The Watch,5.3,881
0,10632,Drama,55000000,The Hunted,6.0,189
1,10632,Action,55000000,The Hunted,6.0,189
2,10632,Thriller,55000000,The Hunted,6.0,189
3,10632,Crime,55000000,The Hunted,6.0,189
0,12117,Drama,80000000,Instinct,6.2,146
1,12117,Mystery,80000000,Instinct,6.2,146
2,12117,Thriller,80000000,Instinct,6.2,146
0,1792,Comedy,55000000,Stuck on You,5.1,188
0,13260,Comedy,0,Semi-Pro,5.4,251
0,72197,Animation,60000000,The Pirates! In an Adventure with Scientists!,6.4,374
1,72197,Adventure,60000000,The Pirates! In an Adventure with Scientists!,6.4,374
2,72197,Family,60000000,The Pirates! In an Adventure with Scientists!,6.4,374
3,72197,Comedy,60000000,The Pirates! In an Adventure with Scientists!,6.4,374
0,3580,Crime,55000000,Changeling,7.3,1131
1,3580,Drama,55000000,Changeling,7.3,1131
2,3580,Mystery,55000000,Changeling,7.3,1131
0,12123,Action,50000000,Chain Reaction,5.3,284
1,12123,Drama,50000000,Chain Reaction,5.3,284
2,12123,Science Fiction,50000000,Chain Reaction,5.3,284
3,12123,Thriller,50000000,Chain Reaction,5.3,284
0,9566,Drama,55000000,The Fan,5.7,194
1,9566,Mystery,55000000,The Fan,5.7,194
2,9566,Thriller,55000000,The Fan,5.7,194
0,9833,Thriller,70000000,The Phantom of the Opera,7.0,438
1,9833,Drama,70000000,The Phantom of the Opera,7.0,438
2,9833,Romance,70000000,The Phantom of the Opera,7.0,438
0,4517,Drama,55000000,Elizabeth: The Golden Age,6.6,303
1,4517,History,55000000,Elizabeth: The Golden Age,6.6,303
2,4517,Romance,55000000,Elizabeth: The Golden Age,6.6,303
0,8202,Action,62000000,Æon Flux,5.4,703
1,8202,Science Fiction,62000000,Æon Flux,5.4,703
0,16072,Drama,56000000,Gods and Generals,6.1,48
1,16072,History,56000000,Gods and Generals,6.1,48
2,16072,War,56000000,Gods and Generals,6.1,48
0,34314,Action,55000000,Turbulence,5.2,62
1,34314,Thriller,55000000,Turbulence,5.2,62
2,34314,Crime,55000000,Turbulence,5.2,62
0,145220,Comedy,50000000,Muppets Most Wanted,6.2,316
1,145220,Adventure,50000000,Muppets Most Wanted,6.2,316
2,145220,Crime,50000000,Muppets Most Wanted,6.2,316
3,145220,Family,50000000,Muppets Most Wanted,6.2,316
0,14623,Action,57000000,Thunderbirds,4.2,91
1,14623,Adventure,57000000,Thunderbirds,4.2,91
2,14623,Comedy,57000000,Thunderbirds,4.2,91
3,14623,Family,57000000,Thunderbirds,4.2,91
4,14623,Fantasy,57000000,Thunderbirds,4.2,91
5,14623,Science Fiction,57000000,Thunderbirds,4.2,91
0,42297,Drama,55000000,Burlesque,6.9,573
1,42297,Romance,55000000,Burlesque,6.9,573
0,2841,Drama,47000000,Un long dimanche de fiançailles,7.1,346
0,802,Drama,2000000,Lolita,7.3,395
1,802,Romance,2000000,Lolita,7.3,395
0,10375,Action,55000000,D-Tox,5.3,123
1,10375,Thriller,55000000,D-Tox,5.3,123
0,36586,Fantasy,54000000,Blade II,6.2,1528
1,36586,Horror,54000000,Blade II,6.2,1528
2,36586,Action,54000000,Blade II,6.2,1528
3,36586,Thriller,54000000,Blade II,6.2,1528
0,11321,Drama,55000000,Seven Pounds,7.5,2039
0,242,Crime,54000000,The Godfather: Part III,7.1,1546
1,242,Drama,54000000,The Godfather: Part III,7.1,1546
2,242,Thriller,54000000,The Godfather: Part III,7.1,1546
0,9621,Comedy,57000000,Elizabethtown,6.1,327
1,9621,Drama,57000000,Elizabethtown,6.1,327
2,9621,Romance,57000000,Elizabethtown,6.1,327
0,1819,Comedy,54000000,"You, Me and Dupree",5.4,407
1,1819,Romance,54000000,"You, Me and Dupree",5.4,407
0,8536,Action,54000000,Superman II,6.5,629
1,8536,Adventure,54000000,Superman II,6.5,629
2,8536,Fantasy,54000000,Superman II,6.5,629
3,8536,Science Fiction,54000000,Superman II,6.5,629
0,8046,Drama,54000000,Gigli,3.5,104
0,1717,Drama,55000000,All the King's Men,5.7,95
1,1717,Thriller,55000000,All the King's Men,5.7,95
0,479,Action,46000000,Shaft,5.5,308
1,479,Adventure,46000000,Shaft,5.5,308
2,479,Crime,46000000,Shaft,5.5,308
3,479,Thriller,46000000,Shaft,5.5,308
0,9444,Animation,53000000,Anastasia,7.4,1432
1,9444,Family,53000000,Anastasia,7.4,1432
0,824,Drama,52500000,Moulin Rouge!,7.4,1300
1,824,Music,52500000,Moulin Rouge!,7.4,1300
2,824,Romance,52500000,Moulin Rouge!,7.4,1300
0,11456,Mystery,75000000,Domestic Disturbance,5.4,113
1,11456,Thriller,75000000,Domestic Disturbance,5.4,113
2,11456,Crime,75000000,Domestic Disturbance,5.4,113
0,261023,Crime,53000000,Black Mass,6.3,1242
1,261023,Drama,53000000,Black Mass,6.3,1242
0,3683,War,90000000,Flags of Our Fathers,6.7,526
1,3683,Drama,90000000,Flags of Our Fathers,6.7,526
2,3683,History,90000000,Flags of Our Fathers,6.7,526
0,22803,Drama,53000000,Law Abiding Citizen,7.2,1486
1,22803,Crime,53000000,Law Abiding Citizen,7.2,1486
2,22803,Thriller,53000000,Law Abiding Citizen,7.2,1486
0,285923,Thriller,67000000,Grindhouse,6.8,459
1,285923,Action,67000000,Grindhouse,6.8,459
2,285923,Horror,67000000,Grindhouse,6.8,459
0,1950,Drama,0,Lucky You,5.4,81
1,1950,Romance,0,Lucky You,5.4,81
0,640,Drama,52000000,Catch Me If You Can,7.7,3795
1,640,Crime,52000000,Catch Me If You Can,7.7,3795
0,97630,Thriller,40000000,Zero Dark Thirty,6.7,1702
1,97630,Drama,40000000,Zero Dark Thirty,6.7,1702
2,97630,History,40000000,Zero Dark Thirty,6.7,1702
0,9767,Romance,52000000,The Break-Up,5.6,832
1,9767,Comedy,52000000,The Break-Up,5.6,832
0,11631,Comedy,52000000,Mamma Mia!,6.4,1386
1,11631,Romance,52000000,Mamma Mia!,6.4,1386
0,32856,Comedy,52000000,Valentine's Day,5.7,1013
1,32856,Romance,52000000,Valentine's Day,5.7,1013
0,6519,Action,50000000,The Dukes of Hazzard,5.1,316
1,6519,Adventure,50000000,The Dukes of Hazzard,5.1,316
2,6519,Comedy,50000000,The Dukes of Hazzard,5.1,316
0,8741,Drama,52000000,The Thin Red Line,7.2,771
1,8741,History,52000000,The Thin Red Line,7.2,771
2,8741,War,52000000,The Thin Red Line,7.2,771
0,49520,Comedy,52000000,The Change-Up,5.9,736
0,1850,Comedy,82000000,Man on the Moon,6.9,435
1,1850,Drama,82000000,Man on the Moon,6.9,435
2,1850,Romance,82000000,Man on the Moon,6.9,435
0,524,Drama,52000000,Casino,7.8,1307
1,524,Crime,52000000,Casino,7.8,1307
0,26389,Action,52000000,From Paris with Love,6.1,675
1,26389,Crime,52000000,From Paris with Love,6.1,675
2,26389,Thriller,52000000,From Paris with Love,6.1,675
0,11817,Action,52000000,Bulletproof Monk,5.1,278
1,11817,Comedy,52000000,Bulletproof Monk,5.1,278
2,11817,Fantasy,52000000,Bulletproof Monk,5.1,278
0,2123,Comedy,51000000,"Me, Myself & Irene",6.1,927
0,9907,Animation,51000000,Barnyard,5.3,225
1,9907,Comedy,51000000,Barnyard,5.3,225
2,9907,Family,51000000,Barnyard,5.3,225
0,9969,Comedy,0,Deck the Halls,5.1,109
1,9969,Family,0,Deck the Halls,5.1,109
0,18239,Adventure,50000000,The Twilight Saga: New Moon,5.6,2436
1,18239,Fantasy,50000000,The Twilight Saga: New Moon,5.6,2436
2,18239,Drama,50000000,The Twilight Saga: New Moon,5.6,2436
3,18239,Romance,50000000,The Twilight Saga: New Moon,5.6,2436
0,808,Adventure,60000000,Shrek,7.3,4056
1,808,Animation,60000000,Shrek,7.3,4056
2,808,Comedy,60000000,Shrek,7.3,4056
3,808,Family,60000000,Shrek,7.3,4056
4,808,Fantasy,60000000,Shrek,7.3,4056
0,38050,Science Fiction,50200000,The Adjustment Bureau,6.5,1652
1,38050,Thriller,50200000,The Adjustment Bureau,6.5,1652
2,38050,Romance,50200000,The Adjustment Bureau,6.5,1652
0,8367,Adventure,48000000,Robin Hood: Prince of Thieves,6.6,909
0,9390,Comedy,50000000,Jerry Maguire,6.7,913
1,9390,Drama,50000000,Jerry Maguire,6.7,913
2,9390,Romance,50000000,Jerry Maguire,6.7,913
0,72105,Comedy,50000000,Ted,6.3,4697
1,72105,Fantasy,50000000,Ted,6.3,4697
0,2898,Comedy,50000000,As Good as It Gets,7.2,915
1,2898,Romance,50000000,As Good as It Gets,7.2,915
0,10312,Comedy,50000000,Patch Adams,7.0,832
1,10312,Drama,50000000,Patch Adams,7.0,832
0,109443,Comedy,50000000,Anchorman 2: The Legend Continues,6.0,923
0,2022,Comedy,50000000,Mr. Deeds,5.6,644
1,2022,Romance,50000000,Mr. Deeds,5.6,644
0,37686,Thriller,50000000,Super 8,6.6,2435
1,37686,Science Fiction,50000000,Super 8,6.6,2435
2,37686,Mystery,50000000,Super 8,6.6,2435
0,462,Drama,52000000,Erin Brockovich,7.1,716
0,9919,Comedy,50000000,How to Lose a Guy in 10 Days,6.3,850
1,9919,Romance,50000000,How to Lose a Guy in 10 Days,6.3,850
0,187017,Crime,50000000,22 Jump Street,7.0,3319
1,187017,Comedy,50000000,22 Jump Street,7.0,3319
2,187017,Action,50000000,22 Jump Street,7.0,3319
0,628,Horror,60000000,Interview with the Vampire,7.2,1516
1,628,Romance,60000000,Interview with the Vampire,7.2,1516
0,10201,Comedy,70000000,Yes Man,6.4,1813
0,302699,Action,50000000,Central Intelligence,6.2,1650
1,302699,Comedy,50000000,Central Intelligence,6.2,1650
0,9441,Drama,0,Stepmom,6.9,277
1,9441,Romance,0,Stepmom,6.9,277
0,274167,Comedy,50000000,Daddy's Home,5.8,854
0,224141,Fantasy,50000000,Into the Woods,5.6,1652
1,224141,Comedy,50000000,Into the Woods,5.6,1652
2,224141,Music,50000000,Into the Woods,5.6,1652
0,388,Crime,45000000,Inside Man,7.3,1630
1,388,Drama,45000000,Inside Man,7.3,1630
2,388,Thriller,45000000,Inside Man,7.3,1630
0,2112,Drama,90000000,Payback,6.7,548
1,2112,Action,90000000,Payback,6.7,548
2,2112,Thriller,90000000,Payback,6.7,548
3,2112,Crime,90000000,Payback,6.7,548
0,10329,Action,50000000,Congo,5.0,213
1,10329,Adventure,50000000,Congo,5.0,213
2,10329,Drama,50000000,Congo,5.0,213
3,10329,Mystery,50000000,Congo,5.0,213
4,10329,Science Fiction,50000000,Congo,5.0,213
5,10329,Thriller,50000000,Congo,5.0,213
0,74465,Drama,50000000,We Bought a Zoo,6.5,909
1,74465,Comedy,50000000,We Bought a Zoo,6.5,909
2,74465,Family,50000000,We Bought a Zoo,6.5,909
0,13811,Action,50000000,Knowing,5.9,1486
